Topic,Count,Name,Representation,Representative_Docs
46,190,46_baby_pregnant_babies_child,"['baby', 'pregnant', 'babies', 'child', 'baby baby', 'know baby', 'adoption', 'baby going', 'want baby', 'baby want']","['The baby.', 'What baby?', 'And the baby...']"
47,182,47_mr mr_mr_mr aware_mr maybe,"['mr mr', 'mr', 'mr aware', 'mr maybe', 'aware mr', 'mr did', 'maybe mr', 'did mr', 'mr wood', 'wood']","['Mr.', 'Mr.', 'Mr.']"
48,181,48_help_help help_help need_need help,"['help', 'help help', 'help need', 'need help', 'need', 'want help', 'help don', 'help want', 'urgent', 'little help']","['Can I help you?', 'Help with what?', 'I can help.']"
49,180,49_frodo_frodo frodo_gondor_minas,"['frodo', 'frodo frodo', 'gondor', 'minas', 'tirith', 'minas tirith', 'sauron', 'gandalf', 'mordor', 'aragorn']","['Frodo!', 'Frodo?', 'Frodo!']"
50,179,50_saying_say_said_say know,"['saying', 'say', 'said', 'say know', 'didn say', 'know mean', 'just saying', 'talking', 'don say', 'talking said']","[""That's what I'm saying."", 'You were saying?', 'That’s not what I’m saying.']"
51,177,51_really really_really_yes really_really yes,"['really really', 'really', 'yes really', 'really yes', 'really oh', 'oh yeah', 'yes', 'oh really', 'yes yes', 'yeah really']","['Really?', 'Really?', 'Really?']"
52,175,52_remember_remember remember_forget_don remember,"['remember', 'remember remember', 'forget', 'don remember', 'forgot', 'forgotten', 'remember forget', 'remember don', 'forget remember', 'memory']","['Remember?', 'I remember.', 'Do you remember?']"
53,174,53_bomb_atomic_atomic bomb_hiroshima,"['bomb', 'atomic', 'atomic bomb', 'hiroshima', 'hydrogen', 'hydrogen bomb', 'uranium', 'nuclear', 'detonate', 'weapon']","['It is an atomic bomb.', 'A bomb.', 'Where’s that Bomb?']"
54,173,54_good good_good_okay_yay,"['good good', 'good', 'okay', 'yay', 'boom', 'ok', 'ok ok', 'okay good', 'oh great', 'oh okay']","['Good, good.', 'Good, good.', 'Very good, very good.']"
55,171,55_scared_nervous_worried_fear,"['scared', 'nervous', 'worried', 'fear', 'scares', 'scared scared', 'nervous scared', 'got scared', 'afraid', 'worried worried']","[""I'm scared."", 'Or are you scared?', 'Scared me.']"
56,171,56_gun_gun gun_guns_reached gun,"['gun', 'gun gun', 'guns', 'reached gun', 'shoot', 'reached', 'oh yes', 'pistol', 'shooting', 'weapon']","['Give me the gun.', ""NOT A BIT REPREHENSIBLEIT’S SO DEFENSIBLE' THE GUN, THE GUN, THE GUN, THE GUN BOTH REACHED FOR THE GUN THE GUN, THE GUN, THE GUN, THE GUN BOTH REACHED FOR THE GUN ...and all that happened on Lakeshore Drive?"", 'THE GUN, THE GUN, THE GUN, THE GUN OH YES, THEY BOTH REACHED FOR THE GUN, THE GUN, THE GUN, THE GUN, THE GUN THE GUN, THE GUN, THE GUN, THE GUN THE GUN, THE GUN, THE GUN, THE GUN Miss Baxter, did you know these two ladies personally?']"
57,168,57_ok_okay_okay okay_fine,"['ok', 'okay', 'okay okay', 'fine', 'ok ok', 'alright', 'fine fine', 'fine okay', 'right ok', 'right']","[""That's ok."", 'That’s OK.', ""It's okay, I'm okay.""]"
58,166,58_cold_rain_freezing_snow,"['cold', 'rain', 'freezing', 'snow', 'storm', 'raining', 'cold cold', 'weather', 'winter', 'wind']","[""It's cold."", ""It's cold."", ""It's too cold.""]"
59,163,59_want want_want_want don_need want,"['want want', 'want', 'want don', 'need want', 'want need', 'need', 'want got', 'know want', 'looking want', 'fuck want']","['What you want?', 'You want anything?', 'I want...']"
60,162,60_oppenheimer_dr oppenheimer_dr_physics,"['oppenheimer', 'dr oppenheimer', 'dr', 'physics', 'einstein', 'robert oppenheimer', 'quantum', 'security', 'strauss', 'scientists']","['Dr Oppenheimer.', 'Dr Oppenheimer?', 'Dr Oppenheimer!']"
61,156,61_good night_good morning_night_night good,"['good night', 'good morning', 'night', 'night good', 'morning', 'good', 'goodnight', 'morning good', 'nice day', 'evening']","['Have a good night.', 'Good night!', 'Good night.']"
62,156,62_salim_salim salim_amitabh_bhai,"['salim', 'salim salim', 'amitabh', 'bhai', 'faramir', 'mejal', 'srinivas', 'mister', 'faramir faramir', 'crorepati']","['Salim!', ""Salim, I....can't."", 'Salim!']"
63,150,63_old_age_young_years old,"['old', 'age', 'young', 'years old', 'old old', '12', 'older', 'old man', 'mid life', 'old getting']","['How old are you?', ""You're not so old."", ""I'm too old for that.""]"
64,146,64_actually_mean mean_mean actually_mean,"['actually', 'mean mean', 'mean actually', 'mean', 'actually oh', 'actually actually', 'actually darlin', 'actually hand', 'chap dude', 'fact dis']","['No, actually...', 'Actually.', 'Actually ....']"
65,143,65_problem_big deal_hard_difficult,"['problem', 'big deal', 'hard', 'difficult', 'deal', 'expect', 'big', 'hoped', 'problem problem', 'hard tough']","[""It's no big deal."", 'Not a big deal?', 'It’s not a big deal.']"
66,143,66_wasn wasn_somebody_wasn_including,"['wasn wasn', 'somebody', 'wasn', 'including', 'coulda', 'anybody young', 'associate ok', 'apart tripped', 'decided bedazzle', 'decided believe']","[""Don't stall me bitch, you know who?"", 'Maybe somebody like, like your mama?', 'Ok, which one of you decided to bedazzle my clipboard?']"
67,142,67_movie_actor_film_make movie,"['movie', 'actor', 'film', 'make movie', 'hollywood', 'films', 'actress', 'art', 'painting', 'theatre']","['How can you go to a movie?', 'I see a movie.', 'A movie.']"
68,142,68_look look_look_look oh_lookit,"['look look', 'look', 'look oh', 'lookit', 'oh look', 'face look', 'look lookit', 'look don', 'look just', 'don look']","['Look!', 'Look.', 'Look around!']"
69,140,69_beautiful_beautiful beautiful_ugly_gorgeous,"['beautiful', 'beautiful beautiful', 'ugly', 'gorgeous', 'pretty', 'look', 'cute', 'beautiful look', 'look great', 'looking good']","[""It's beautiful."", 'This is so beautiful.', 'It’s beautiful!']"
70,139,70_just yes_just just_oh ain_oh course,"['just yes', 'just just', 'oh ain', 'oh course', 'yes just', 'yes', 'ain', 'isn', 'think just', 'ckay probably']","['Oh, of course it is!', 'Oh no, no, no, no, no, it ain’t.', 'Oh, but it ain’t.']"
71,137,71_did didn_did did_did_didn did,"['did didn', 'did did', 'did', 'didn did', 'yes did', 'did yes', 'didn', 'didn didn', 'really did', 'yeah did']","['You did.', 'I did too.', 'You didn’t even have one, did you?']"
72,137,72____,"['', '', '', '', '', '', '', '', '', '']","['What?', 'What?', 'What?']"
73,136,73_stick going_seven_zero_count,"['stick going', 'seven', 'zero', 'count', 'makes', 'salim', 'alright scream', 'composition poor', 'alphabet makes', 'chamber makes']","['I just heard Tony tell McKinny it was three.', ""One, once I'm gone, you lift that beast off the remaining Speck, then carry him to the nearest town."", ""Four, nine, zero, nine- the one with the stick going down, Salim-six- stick going up- Six, one, shit, let's go- It's okay, Salim.""]"
74,135,74_say_talk_want hear_say say,"['say', 'talk', 'want hear', 'say say', 'talk don', 'didn say', 'want talk', 'don want', 'say don', 'don say']","['What can I say?', 'What should I say?', 'What would you say?']"
75,135,75_know know_know_know yeah_yeah know,"['know know', 'know', 'know yeah', 'yeah know', 'know yes', 'yes know', 'know oh', 'oh know', 'yeah', 'super involved']","['I know, I know.', 'know, I know.', 'I know, I know!']"
76,134,76_sorry_apologize_sorry sorry_sorry sir,"['sorry', 'apologize', 'sorry sorry', 'sorry sir', 'sorry mr', 'apologize sorry', 'don apologize', 'apologies', 'apologized', 'sir sorry']","['I’m sorry?', 'Sorry?', 'I’m sorry?']"
77,134,77_come come_come_seriously come_oh come,"['come come', 'come', 'seriously come', 'oh come', 'seriously', 'come seriously', 'come oh', 'guys come', 'come guys', 'come buddy']","['Come on, come on!', 'Come on, come on.', 'Come on, come on!']"
78,131,78_right right_right_right dad_aw right,"['right right', 'right', 'right dad', 'aw right', 'dad aw', 'right wait', 'wait right', 'dad right', 'aw', 'dad']","['Right.', 'Right.', 'Right.']"
79,130,79_stuff_trivial_kind stuff_kind,"['stuff', 'trivial', 'kind stuff', 'kind', 'sort thing', 'thing', 'ordinary', 'ban', 'comparison longshot', 'damn embarrassing']","['What stuff?', 'stuff.', 'Stuff...']"
80,130,80_yes yes_yes__,"['yes yes', 'yes', '', '', '', '', '', '', '', '']","['Yes.', 'Yes.', 'Yes.']"
81,129,81_yes yes_yes_bullshittin yes_firewall emulator,"['yes yes', 'yes', 'bullshittin yes', 'firewall emulator', 'firewall', 'confused yes', 'hell yes', 'pix firewall', 'yes bullshittin', 'yes pix']","['Yes.', 'Yes.', 'Yes.']"
82,128,82_course course_course_came course_accept course,"['course course', 'course', 'came course', 'accept course', 'course foolish', 'course came', 'course agree', 'agree course', 'course pros', 'pros course']","['Of course.', 'Of course.', 'Of course.']"
83,124,83_ivan_ivan ivan_igor_talk ivan,"['ivan', 'ivan ivan', 'igor', 'talk ivan', 'ivan father', 'let ivan', 'married ivan', 'ivan fucking', 'need ivan', 'igor igor']","['IVAN!', 'Ivan.', 'Ivan!']"
84,124,84_months_long_years_months months,"['months', 'long', 'years', 'months months', 'months long', 'years long', 'year', 'long long', 'weeks', 'weeks year']","['How many months are you?', 'Five months.', 'Six months.']"
85,124,85_door_walk_open_knock,"['door', 'walk', 'open', 'knock', 'open door', 'gate', 'walking', 'door door', 'door open', 'knock door']","['This is the last door.', 'Which door?', 'Door.']"
86,122,86_wait_waiting_time_delay,"['wait', 'waiting', 'time', 'delay', 'time wait', 'waitin', 'wait ll', 'll wait', 'need time', 'specks time']","['Please wait here.', 'While you wait.', 'While you wait.']"
87,120,87_outta_fuck outta_fuck_let,"['outta', 'fuck outta', 'fuck', 'let', 'coming come', 'git outta', 'gonna gonna', 'just fuck', 'let fuck', 'come just']","['get the fuck outta here!', 'Get the fuck outta here.', 'Get the fuck outta here.']"
88,120,88_wladek_szpilman_wicher_und,"['wladek', 'szpilman', 'wicher', 'und', 'wicher wicher', 'holitzer', 'szpilman wladek', 'wladek wladek', 'wladyslaw', 'und zack']","['Wladek, please.', 'Wladek, please.', 'Wladek!']"
89,120,89_win_winning_loser_lose,"['win', 'winning', 'loser', 'lose', 'lost', 'winners', 'winner', 'losing', 'losers', 'won']","['I win.', 'But you can’t win either.', 'And if I win?']"
90,119,90_brother_brother brother_husband_brothers,"['brother', 'brother brother', 'husband', 'brothers', 'cousin', 'daughter', 'husband brother', 'wife', 'husband husband', 'retarded']","['And that’s my brother.', ""It's your brother We?"", 'You can be my brother.']"
91,119,91_sure sure_sure_yeah sure_sure yeah,"['sure sure', 'sure', 'yeah sure', 'sure yeah', 'oh sure', 'sure oh', 'sure uh', 'uh sure', 'yeah', 'bet just']","['Sure.', 'Sure, sure.', 'Sure, sure.']"
92,117,92____,"['', '', '', '', '', '', '', '', '', '']","['Why?', 'Why?', 'Why?']"
93,117,93_oh oh_oh_ah oh_oh ah,"['oh oh', 'oh', 'ah oh', 'oh ah', 'ah', 'oh bingo', 'ah ah', 'bingo oh', 'bingo', '']","['Oh.', 'Oh.', 'Oh.']"
94,116,94_stop stop_stop_just stop_stop shit,"['stop stop', 'stop', 'just stop', 'stop shit', 'fucking stop', 'abandon posts', 'wanna stop', 'posts', 'stop just', 'abandon']","['Stop, stop!', 'Stop, stop.', 'Stop, stop, stop.']"
95,115,95_clock_midnight_thirty_clock time,"['clock', 'midnight', 'thirty', 'clock time', 'clock clock', 'time', '12', '30', 'time clock', 'time time']","[""Three o'clock."", 'It’s eight o’clock!', ""Three o'clock!""]"
96,114,96_thanks_thank_problem_problem problem,"['thanks', 'thank', 'problem', 'problem problem', 'problem thank', 'ok thanks', 'thank thanks', 'thanks thank', 'thank problem', 'thank thank']","['Thanks...', 'Thanks...', 'Thanks..']"
97,114,97_hello hello_hello_okay hello_hello okay,"['hello hello', 'hello', 'okay hello', 'hello okay', 'hello ok', 'ok hello', 'hi hello', 'okay', 'hello alright', 'alright hello']","['Hello?', 'Hello?', 'Hello?']"
98,112,98_robby_robert_robert robert_sacha,"['robby', 'robert', 'robert robert', 'sacha', 'saviano', 'robby robby', 'phil saviano', 'phil', 'sacha robby', 'robby sacha']","['And Robby?', 'Robby?', 'Robby.']"
99,111,99_come oh_oh come_come come_come,"['come oh', 'oh come', 'come come', 'come', 'oh', 'oh oh', 'gott come', 'let ratchet', 'gott', 'oh gott']","['Come on.', 'Come on.', 'Come on.']"
100,109,100_excuse_excuse excuse_pardon_ahead,"['excuse', 'excuse excuse', 'pardon', 'ahead', 'ahead ahead', 'pardon excuse', 'ahead excuse', 'beg pardon', 'excuse ahead', 'beg']","['Will you excuse me?', 'Excuse me...', 'Excuse me?']"
101,107,101_got got_got_got em_got yeah,"['got got', 'got', 'got em', 'got yeah', 'got totally', 'totally got', 'got okay', 'got oh', 'got think', 'oh got']","['I got this!', 'You got it.', 'We got you, we got you, we got you.']"
102,107,102_dad_dad dad_daddy_papa,"['dad', 'dad dad', 'daddy', 'papa', 'daddy daddy', 'dad come', 'thanks dad', 'okay dad', 'papa papa', 'dad okay']","['Dad!', 'What’s up, Dad?', 'Dad!']"
103,106,103_fun_bored_fun fun_fun going,"['fun', 'bored', 'fun fun', 'fun going', 'boring', 'having fun', 'll fun', 'fun ll', 'fun said', 'going fun']","['So fun!', 'fun !', 'Fun?']"
104,105,104_shit shit_shit good_good shit_shit,"['shit shit', 'shit good', 'good shit', 'shit', 'good good', 'good', 'shit crap', 'crap', 'yo', 'crap good']","['Shit.', 'Shit.', 'Shit.']"
105,105,105_jew_jews_jewish_yoohoo,"['jew', 'jews', 'jewish', 'yoohoo', 'yoohoo jew', 'jew jew', 'jewish jewish', 'jews jew', 'jews jews', 'editor']","[""He's a Jew!"", 'What about Jew...', ""He's a Jew!""]"
106,103,106_minutes_seconds_minutes minutes_seconds seconds,"['minutes', 'seconds', 'minutes minutes', 'seconds seconds', 'hours', 'thirty seconds', 'hour', 'seconds minutes', 'hour minutes', 'seconds hour']","['Two minutes.', 'In five minutes.', 'Six minutes?']"
107,103,107_horse_horses_rodeo_sheep,"['horse', 'horses', 'rodeo', 'sheep', 'ranch', 'coyotes', 'tractors', 'saddle', 'horse horse', 'plantation']","['Your horse?', 'What horse?', 'Take me to my horse.']"
108,102,108_happening_going going_happening happening_going,"['happening', 'going going', 'happening happening', 'going', 'going happening', 'happened going', 'happened', 'fuck going', 'goin', 'happening fuck']","['What’s happening?', 'what is happening?', ""What's happening?""]"
109,101,109_eighty_e21_seventy_thirty,"['eighty', 'e21', 'seventy', 'thirty', 'seven', '35', '60', '25', 'e21 25', '35 60']","['Eighty-seven.', '25, E21.', '25, E21.']"
110,100,110_homer_homer homer_homer know_homer ain,"['homer', 'homer homer', 'homer know', 'homer ain', 'homer don', 'trouble homer', 'right homer', 'ain', 'ain right', 'stayin']","['Homer, would you get this one?', 'Homer?', ""Where's that Homer?""]"
111,99,111_okay okay_okay__,"['okay okay', 'okay', '', '', '', '', '', '', '', '']","['Okay.', 'Okay.', 'Okay.']"
112,99,112_john_john john_uncle john_john sorry,"['john', 'john john', 'uncle john', 'john sorry', 'massa gunna', 'john massa', 'sorry john', 'know john', 'massa', 'kennedy']","['John ...', 'John.', 'John F.']"
113,98,113_wrong_wrong wrong_wrong right_right,"['wrong', 'wrong wrong', 'wrong right', 'right', 'right right', 'right wrong', 'mistaken', 'maybe right', 'smith wrong', 'guess wrong']","['Wrong.', 'SO WRONG!', 'But everyone’s wrong.']"
114,98,114_yeah yeah_yeah__,"['yeah yeah', 'yeah', '', '', '', '', '', '', '', '']","['Yeah.', 'Yeah.', 'Yeah.']"
115,98,115_thank thank_thank_mahalo_thank mahalo,"['thank thank', 'thank', 'mahalo', 'thank mahalo', 'mahalo thank', 'mahalo mahalo', 'like thank', 'thank like', 'like', '']","['Thank you.', 'Thank you.', 'Thank you.']"
116,97,116_haven_thinking_thinking ve_seen,"['haven', 'thinking', 'thinking ve', 'seen', 've thinking', 'haven haven', 'think seen', 'haven think', 'noticed', 've']","[""I haven't, either."", 'Well, I haven’t!', ""Because I haven't.""]"
117,97,117_party_christmas_celebrate_parties,"['party', 'christmas', 'celebrate', 'parties', 'celebrating', 'new year', 'let celebrate', 'want party', 'santa', 'yap']","['We’re here to party!', 'Party.', 'It’s your party.']"
118,96,118_meet_nice meet_meet nice_nice,"['meet', 'nice meet', 'meet nice', 'nice', 'finally meet', 'meeting', 'nice meeting', 'meet good', 'good meet', 'great meet']","['Nice to meet you?', ""It's been nice to meet you."", 'Nice to meet you.']"
119,96,119_love_love love_love talking_kind love,"['love', 'love love', 'love talking', 'kind love', 'absolute', 'love absolute', 'falling love', 'real love', 'got love', 'fall love']","['Love.', 'Love.', 'Love.']"
120,95,120_family_family family_family like_incest,"['family', 'family family', 'family like', 'incest', 'like family', 'family don', 'family gonna', 'know family', 'got family', 'families']","['Family.', 'No family.', ""You're not my family!""]"
121,94,121_sit_seat_sit sit_sit seat,"['sit', 'seat', 'sit sit', 'sit seat', 'come sit', 'sit come', 'seat sit', 'seat seat', 'want sit', 'just sit']","['Sit down.', 'Please, sit.', 'Sit down.']"
122,93,122_happy_happy happy_smiling_happy just,"['happy', 'happy happy', 'smiling', 'happy just', 'satisfied', 'happy everybody', 'happy make', 'satisfied happy', 'ir', 'life happy']","['You’re happy, I’m happy.', 'Then I’m happy you’re happy.', 'Then I’m happy you’re happy.']"
123,93,123_yes yes_yes__,"['yes yes', 'yes', '', '', '', '', '', '', '', '']","['Yes.', 'Yes.', 'Yes.']"
124,93,124_medication_cocaine_drug_pills,"['medication', 'cocaine', 'drug', 'pills', 'heroin', 'drugs', 'addicts', 'crack addicts', 'medicine', 'dealer']","['Will you take your medication?', 'The medication?', 'The medication ...']"
